305_gambelii	300_gambelii	298_turbinella
305_gambelii	300_gambelii	298_turbinella
303_gambelii	300_gambelii	272_grisea
305_gambelii	300_gambelii	272_grisea
077_gambelii	300_gambelii	282_turbinella
276_gambelii	300_gambelii	069_grisea
303_gambelii	300_gambelii	274_grisea
290_gambelii	300_gambelii	272_grisea
270_gambelii	300_gambelii	274_grisea
276_gambelii	300_gambelii	088_turbinella
305_gambelii	300_gambelii	081_grisea
276_gambelii	300_gambelii	285_grisea
303_gambelii	300_gambelii	283_grisea
276_gambelii	300_gambelii	079_turbinella
303_gambelii	300_gambelii	301_grisea
305_gambelii	300_gambelii	285_grisea
276_gambelii	300_gambelii	058_turbinella
305_gambelii	300_gambelii	282_turbinella
305_gambelii	300_gambelii	061_turbinella
276_gambelii	300_gambelii	266_grisea
276_gambelii	300_gambelii	085_turbinella
276_gambelii	300_gambelii	271_grisea
305_gambelii	300_gambelii	301_grisea
276_gambelii	300_gambelii	283_grisea
305_gambelii	300_gambelii	086_grisea
276_gambelii	300_gambelii	279_turbinella
305_gambelii	300_gambelii	297_turbinella
305_gambelii	300_gambelii	271_grisea
305_gambelii	300_gambelii	279_turbinella
305_gambelii	300_gambelii	274_grisea
276_gambelii	300_gambelii	284_turbinella
276_gambelii	300_gambelii	081_grisea
276_gambelii	300_gambelii	086_grisea
305_gambelii	300_gambelii	302_turbinella
304_gambelii	303_gambelii	286_gambelii
276_gambelii	300_gambelii	274_grisea
276_gambelii	300_gambelii	061_turbinella
276_gambelii	300_gambelii	282_turbinella
276_gambelii	300_gambelii	297_turbinella
276_gambelii	300_gambelii	298_turbinella
276_gambelii	300_gambelii	272_grisea
276_gambelii	300_gambelii	280_turbinella
300_gambelii	070_gambelii	286_gambelii
074_gambelii	303_gambelii	069_grisea
300_gambelii	303_gambelii	070_gambelii
283_grisea	064_turbinella	271_grisea
276_gambelii	300_gambelii	301_grisea
276_gambelii	300_gambelii	302_turbinella
074_gambelii	077_gambelii	271_grisea
271_grisea	301_grisea	284_turbinella
074_gambelii	077_gambelii	064_turbinella
074_gambelii	276_gambelii	284_turbinella
081_grisea	061_turbinella	270_gambelii
074_gambelii	303_gambelii	272_grisea
